PartyId,direction_flag,prob_consolidation,prob_outflow_risk,prob_neutral,action_priority_score,total_external_balance,total_cytd_inflow,total_cytd_outflow,has_large_withdrawal,has_rollover,has_external_account,tenure_years,PartyAge
6232010,Outflow Risk,0.0,0.9789,0.0211,0.9789,0.0,0.0,134259.05,1,0,0,18.6958904109589,37
5670825,Outflow Risk,0.0,0.9787,0.0213,0.9787,0.0,0.0,155946.9,1,0,0,7.30958904109589,73
3480913,Outflow Risk,0.0028,0.9764,0.0208,0.9786,1283604.96,0.0,7595500.0,1,0,1,9.42191780821917,79
6091412,Outflow Risk,0.0,0.9784,0.0216,0.9784,0.0,0.0,261102.06,1,0,0,25.5780821917808,74
35157114,Outflow Risk,0.0,0.9781,0.0219,0.9781,0.0,0.0,180466.73,1,0,0,0.408219178082191,57
5665948,Outflow Risk,0.0,0.9779,0.0221,0.9779,0.0,0.0,1030920.61,1,0,0,7.30958904109589,81
1798410,Outflow Risk,0.0,0.9778,0.0222,0.9778,0.0,0.0,870000.0,1,0,0,14.37808219,83
3650516,Outflow Risk,0.0,0.9773,0.0227,0.9773,0.0,0.0,367006.75,1,0,0,5.2958904109589,67
22092641,Outflow Risk,0.0,0.9772,0.0228,0.9772,0.0,0.0,365839.91,1,0,0,3.41369863013698,51
3498566,Outflow Risk,0.0,0.977,0.023,0.977,0.0,0.0,694265.56,1,0,0,16.7945205479452,81
14222126,Outflow Risk,0.0,0.9764,0.0236,0.9764,0.0,0.0,158983.59,1,0,0,5.48219178082191,79
3182040,Outflow Risk,0.0,0.9762,0.0238,0.9762,0.0,0.0,125000.0,1,0,0,2.038356164,48
6358313,Outflow Risk,0.0,0.9758,0.0242,0.9758,0.0,0.0,1487307.9,1,0,0,19.772602739726,91
5006042,Outflow Risk,0.0,0.9757,0.0243,0.9757,0.0,0.0,4722689.51,1,0,0,22.9917808219178,69
6123366,Outflow Risk,0.0,0.9754,0.0246,0.9754,0.0,0.0,376666.67,1,0,0,41.0794520547945,83
33620556,Outflow Risk,0.0,0.9754,0.0246,0.9754,0.0,0.0,500000.0,1,0,0,0.687671232876712,57
