PartyId,total_cytd_outflow,total_cytd_inflow,has_large_withdrawal,prob_outflow_risk,direction_flag,action_priority_score
3652280,418000.0,0.0,0,0.0967,Neutral,0.0968
5194330,417868.81,0.0,0,0.1904,Neutral,0.1905
3565570,416866.8,0.0,0,0.172,Neutral,0.172
186079,416711.88,0.0,0,0.11,Neutral,0.1105
566272,416602.28,0.0,1,0.9928,Outflow Risk,0.9928
102363,415715.04,0.0,0,0.1237,Neutral,0.1242
2813035,415368.83,0.0,1,0.9815,Outflow Risk,0.9815
287962,415160.0,0.0,0,0.0156,Neutral,0.2797
17620311,415055.84,0.0,0,0.0821,Neutral,0.0826
4467193,414675.0,0.0,0,0.1987,Neutral,0.1992
829472,413400.0,0.0,0,0.212,Neutral,0.2122
1571446,413043.62,0.0,0,0.1169,Neutral,0.1171
2300490,413010.0,0.0,0,0.2308,Neutral,0.2314
286725,413006.01,0.0,1,0.9636,Outflow Risk,0.9636
32311095,412500.04,0.0,0,0.1371,Neutral,0.1376
5716320,412500.0,0.0,0,0.0899,Neutral,0.09
2091537,412478.66,0.0,0,0.0582,Neutral,0.0583
74799,412223.1,0.0,0,0.1577,Neutral,0.1578
3626387,411840.48,0.0,1,0.9846,Outflow Risk,0.9846
38352,410430.13,0.0,0,0.1251,Neutral,0.1256
5811104,410211.28,0.0,0,0.204,Neutral,0.204
6060456,410000.0,0.0,1,0.9978,Outflow Risk,0.9978
1044529,409787.26,0.0,0,0.1137,Neutral,0.1137
5755199,409588.51,0.0,0,0.1326,Neutral,0.1332
3004241,408000.51,0.0,0,0.1693,Neutral,0.1697
6025070,408000.0,0.0,0,0.0914,Neutral,0.0915
4009444,407293.72,0.0,0,0.071,Neutral,0.0711
2888493,406982.31,0.0,0,0.1146,Neutral,0.1152
5570821,406466.97,0.0,0,0.1768,Neutral,0.1773
3287127,406185.76,0.0,0,0.1558,Neutral,0.1559
22301787,405719.98,0.0,1,0.9918,Outflow Risk,0.9918
6210507,405450.0,0.0,0,0.2339,Neutral,0.2349
2478308,404798.77,0.0,0,0.1588,Neutral,0.1589
5744149,404785.11,0.0,0,0.0523,Neutral,0.0523
6251239,404074.8,0.0,1,0.9903,Outflow Risk,0.9903
20129166,403666.64,0.0,0,0.1339,Neutral,0.134
23026386,401987.41,0.0,0,0.0847,Neutral,0.0847
5648660,400703.43,0.0,1,0.9812,Outflow Risk,0.9812
14728735,400000.0,0.0,1,0.9899,Outflow Risk,0.9899
18103345,399976.76,0.0,0,0.1763,Neutral,0.178
259738,399114.87,0.0,0,0.1291,Neutral,0.1297
322605,398587.42,0.0,0,0.1639,Neutral,0.1646
5656008,397950.0,0.0,0,0.13,Neutral,0.1301
1438518,397800.0,0.0,0,0.1118,Neutral,0.1119
186504,396431.92,0.0,0,0.1395,Neutral,0.1399
54806,396000.0,0.0,1,0.9959,Outflow Risk,0.9959
5982603,395849.39,0.0,0,0.0,Consolidation Opportunity,0.6953
5440052,395362.0,0.0,0,0.165,Neutral,0.1651
18103589,394221.839999999,0.0,0,0.1113,Neutral,0.1113
605523,394039.14,0.0,0,0.1886,Neutral,0.1887
4696517,393999.49,0.0,1,0.4722,Consolidation Opportunity,0.853
22981129,393866.68,0.0,0,0.0688,Neutral,0.0717
1052090,392823.99,0.0,0,0.0772,Neutral,0.0782
3730616,391998.17,0.0,0,0.0744,Neutral,0.0745
18532,391600.44,0.0,1,0.9881,Outflow Risk,0.9881
3516619,391600.0,0.0,0,0.1072,Neutral,0.1076
4009435,391542.32,0.0,0,0.0372,Neutral,0.0373
1331571,391000.0,0.0,0,0.074,Neutral,0.0742
3831078,390800.0,0.0,0,0.1177,Neutral,0.1182
2878800,390500.0,0.0,0,0.1014,Neutral,0.1015
895822,390000.0,0.0,0,0.2082,Neutral,0.2088
18552340,389284.82,0.0,0,0.0512,Neutral,0.0513
4620088,389283.72,0.0,0,0.2617,Neutral,0.2617
12725160,389000.0,0.0,1,0.9935,Outflow Risk,0.9935
1580090,388611.42,0.0,0,0.0776,Neutral,0.0781
908609,387878.0,0.0,0,0.1906,Neutral,0.1907
24619215,387192.93,0.0,0,0.0878,Neutral,0.0908
3323482,386164.66,0.0,0,0.1318,Neutral,0.1319
16930486,385926.76,0.0,0,0.0469,Neutral,0.0471
28773081,385000.01,0.0,1,0.9861,Outflow Risk,0.9861
3721118,385000.0,0.0,0,0.1015,Neutral,0.102
4340333,383925.76,0.0,1,0.9977,Outflow Risk,0.9977
3434283,383500.0,0.0,0,0.109,Neutral,0.109
2484535,383222.99,0.0,1,0.9829,Outflow Risk,0.9829
112803,382500.0,0.0,0,0.1404,Neutral,0.1405
4883145,382500.0,0.0,0,0.1137,Neutral,0.1141
143266,382500.0,0.0,0,0.1068,Neutral,0.1072
5778618,382500.0,0.0,0,0.0563,Neutral,0.0563
19089320,382500.0,0.0,0,0.1077,Neutral,0.1077
3702060,382500.0,0.0,0,0.0625,Neutral,0.0626
4027286,382500.0,0.0,0,0.186,Neutral,0.1862
3503042,382500.0,0.0,0,0.0742,Neutral,0.0743
76610,382500.0,0.0,0,0.166,Neutral,0.1666
717726,382238.0,0.0,0,0.2697,Neutral,0.2698
3721158,381750.0,0.0,0,0.1134,Neutral,0.1135
34021602,381740.06,0.0,1,0.9791,Outflow Risk,0.9791
19350843,381400.0,0.0,0,0.0836,Neutral,0.0836
169651,381351.67,0.0,0,0.0764,Neutral,0.0765
16135179,381063.22,0.0,0,0.1894,Neutral,0.1895
1194960,380000.0,0.0,1,0.9962,Outflow Risk,0.9962
14335,380000.0,0.0,0,0.2319,Neutral,0.2324
6073976,379159.01,0.0,0,0.1933,Neutral,0.1939
1164155,378719.3,0.0,0,0.1554,Neutral,0.1563
4347587,377778.42,0.0,0,0.0826,Neutral,0.0836
1616089,377500.0,0.0,0,0.147,Neutral,0.1471
342336,377196.19,0.0,0,0.1318,Neutral,0.1318
108659,377090.3,0.0,1,0.9932,Outflow Risk,0.9932
6123366,376666.67,0.0,1,0.9754,Outflow Risk,0.9754
136559,376068.27,0.0,0,0.1558,Neutral,0.1563
4106560,376056.43,0.0,0,0.1247,Neutral,0.1249
255536,375099.34,0.0,0,0.6697,Outflow Risk,0.6697
5796271,375076.94,0.0,1,0.9288,Outflow Risk,0.9288
