PartyId,PartyAge,n_accounts_named_on,associated_portfolio_total,any_owner_70plus,any_owner_80plus,n_advisory_accts,in_client_household,conversion_probability,priority_tier,primary_role,roles_held,rank,cluster,segment_name
10960977,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97278666,Very High,,,81,0,Older Wealth-Adjacent (60+)
10766186,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97278666,Very High,,,82,0,Older Wealth-Adjacent (60+)
10766185,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97278666,Very High,,,83,2,Client Household Members
10766187,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97278666,Very High,,,84,0,Older Wealth-Adjacent (60+)
13858749,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97278666,Very High,Primary Beneficiary,Primary Beneficiary,85,2,Client Household Members
16610125,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97278666,Very High,,,86,2,Client Household Members
2497797,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9727171,Very High,Primary Beneficiary,Primary Beneficiary,87,0,Older Wealth-Adjacent (60+)
11013737,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9727171,Very High,,,88,0,Older Wealth-Adjacent (60+)
2785798,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9727171,Very High,Primary Beneficiary,"Primary Beneficiary, Transfer on Death (TOD) Bene Primary",89,0,Older Wealth-Adjacent (60+)
22123540,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9727171,Very High,,,90,0,Older Wealth-Adjacent (60+)
19966101,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9727171,Very High,Primary Beneficiary,Primary Beneficiary,91,0,Older Wealth-Adjacent (60+)
10911837,76.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9724353,Very High,,,92,0,Older Wealth-Adjacent (60+)
2426469,76.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9724353,Very High,Primary Beneficiary,"Primary Beneficiary, Transfer on Death (TOD) Bene Primary",93,0,Older Wealth-Adjacent (60+)
5163394,76.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9724353,Very High,Primary Beneficiary,"Primary Beneficiary, Transfer on Death (TOD) Bene Primary",94,0,Older Wealth-Adjacent (60+)
12272495,76.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9724353,Very High,Primary Beneficiary,Primary Beneficiary,95,0,Older Wealth-Adjacent (60+)
5795609,76.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9724353,Very High,Primary Beneficiary,Primary Beneficiary,96,0,Older Wealth-Adjacent (60+)
28292,76.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9724353,Very High,Primary Beneficiary,"Primary Beneficiary, Transfer on Death (TOD) Bene Primary",97,0,Older Wealth-Adjacent (60+)
32134770,88.0,2.0,7708351.62,0.0,0.0,0.0,0.0,0.9724209,Very High,Additional Grantor,Additional Grantor,98,0,Older Wealth-Adjacent (60+)
5574619,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,99,0,Older Wealth-Adjacent (60+)
6114973,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,100,0,Older Wealth-Adjacent (60+)
5163268,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,"Primary Beneficiary, Transfer on Death (TOD) Bene Primary",101,0,Older Wealth-Adjacent (60+)
6155801,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,102,0,Older Wealth-Adjacent (60+)
1543473,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Trusted Contact,"Primary Beneficiary, Trusted Contact",103,0,Older Wealth-Adjacent (60+)
5837838,77.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,104,0,Older Wealth-Adjacent (60+)
1260151,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,105,0,Older Wealth-Adjacent (60+)
6009188,77.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Transfer on Death (TOD) Bene Primary,Transfer on Death (TOD) Bene Primary,106,0,Older Wealth-Adjacent (60+)
10992819,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,,,107,0,Older Wealth-Adjacent (60+)
2241456,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,108,2,Client Household Members
10992668,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,,,109,2,Client Household Members
2253123,77.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,110,0,Older Wealth-Adjacent (60+)
846104,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,111,0,Older Wealth-Adjacent (60+)
6025358,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,112,0,Older Wealth-Adjacent (60+)
18600552,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,,,113,0,Older Wealth-Adjacent (60+)
18600555,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,,,114,2,Client Household Members
18600549,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,,,115,0,Older Wealth-Adjacent (60+)
3618285,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,116,2,Client Household Members
4690075,77.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,117,2,Client Household Members
10803943,77.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,,,118,2,Client Household Members
150679,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Transfer on Death (TOD) Bene Primary,Transfer on Death (TOD) Bene Primary,119,0,Older Wealth-Adjacent (60+)
3769036,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,120,0,Older Wealth-Adjacent (60+)
286683,77.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,121,0,Older Wealth-Adjacent (60+)
17401967,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.9704898,Very High,Responsible Party,Responsible Party,122,0,Older Wealth-Adjacent (60+)
30754056,62.0,1.0,19104.89,0.0,0.0,0.0,0.0,0.96956486,Very High,Additional Grantor,Additional Grantor,123,2,Client Household Members
27307239,63.0,1.0,6.43,0.0,0.0,0.0,0.0,0.9694847,Very High,Additional Grantor,Additional Grantor,124,0,Older Wealth-Adjacent (60+)
30314853,76.0,1.0,0.0,0.0,0.0,0.0,0.0,0.96780753,Very High,Additional Grantor,Additional Grantor,125,2,Client Household Members
10901010,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,126,2,Client Household Members
