PartyId,PartyAge,n_accounts_named_on,associated_portfolio_total,any_owner_70plus,any_owner_80plus,n_advisory_accts,in_client_household,conversion_probability,priority_tier,primary_role,roles_held,rank
14310986,85.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9754566,Very High,,,52
1690287,85.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9754566,Very High,Primary Beneficiary,"Primary Beneficiary, Transfer on Death (TOD) Bene Primary",53
17101766,85.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9754566,Very High,,,54
10755290,84.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97515786,Very High,,,55
13493845,84.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97515786,Very High,,,56
4184561,84.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97515786,Very High,Primary Beneficiary,Primary Beneficiary,57
147856,82.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9750141,Very High,Contingent Beneficiary,Contingent Beneficiary,58
4611528,82.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9750141,Very High,Transfer on Death (TOD) Bene Primary,Transfer on Death (TOD) Bene Primary,59
3550979,82.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9750141,Very High,Primary Beneficiary,Primary Beneficiary,60
1966049,82.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9750141,Very High,Primary Beneficiary,Primary Beneficiary,61
10992718,82.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9750141,Very High,,,62
10996628,82.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9750141,Very High,,,63
24910007,92.0,1.0,789750.68,0.0,0.0,0.0,0.0,0.97475296,Very High,Additional Grantor,Additional Grantor,64
35451095,91.0,1.0,1457267.07,0.0,0.0,0.0,0.0,0.9741057,Very High,Additional Grantor,Additional Grantor,65
18410826,83.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97377205,Very High,,,66
10854652,83.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97377205,Very High,,,67
809215,83.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97377205,Very High,,,68
6117425,83.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97377205,Very High,Primary Beneficiary,Primary Beneficiary,69
2737896,83.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97377205,Very High,Primary Beneficiary,Primary Beneficiary,70
4079777,83.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97377205,Very High,,,71
5681903,83.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97377205,Very High,Primary Beneficiary,Primary Beneficiary,72
5927580,83.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97377205,Very High,Primary Beneficiary,Primary Beneficiary,73
24443661,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9733393,Very High,Additional Grantor,Additional Grantor,74
55496,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97278666,Very High,Primary Beneficiary,Primary Beneficiary,75
150675,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97278666,Very High,Transfer on Death (TOD) Bene Primary,Transfer on Death (TOD) Bene Primary,76
3682558,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97278666,Very High,Primary Beneficiary,Primary Beneficiary,77
17390734,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97278666,Very High,Trusted Contact,Trusted Contact,78
1295436,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97278666,Very High,Trusted Contact,"Primary Beneficiary, Transfer on Death (TOD) Bene Primary, Trusted Contact",79
3556129,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97278666,Very High,Primary Beneficiary,Primary Beneficiary,80
10960977,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97278666,Very High,,,81
10766186,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97278666,Very High,,,82
10766185,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97278666,Very High,,,83
10766187,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97278666,Very High,,,84
13858749,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97278666,Very High,Primary Beneficiary,Primary Beneficiary,85
16610125,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97278666,Very High,,,86
2497797,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9727171,Very High,Primary Beneficiary,Primary Beneficiary,87
11013737,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9727171,Very High,,,88
2785798,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9727171,Very High,Primary Beneficiary,"Primary Beneficiary, Transfer on Death (TOD) Bene Primary",89
22123540,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9727171,Very High,,,90
19966101,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9727171,Very High,Primary Beneficiary,Primary Beneficiary,91
10911837,76.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9724353,Very High,,,92
2426469,76.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9724353,Very High,Primary Beneficiary,"Primary Beneficiary, Transfer on Death (TOD) Bene Primary",93
5163394,76.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9724353,Very High,Primary Beneficiary,"Primary Beneficiary, Transfer on Death (TOD) Bene Primary",94
12272495,76.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9724353,Very High,Primary Beneficiary,Primary Beneficiary,95
5795609,76.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9724353,Very High,Primary Beneficiary,Primary Beneficiary,96
28292,76.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9724353,Very High,Primary Beneficiary,"Primary Beneficiary, Transfer on Death (TOD) Bene Primary",97
32134770,88.0,2.0,7708351.62,0.0,0.0,0.0,0.0,0.9724209,Very High,Additional Grantor,Additional Grantor,98
5574619,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,99
6114973,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,100
5163268,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,"Primary Beneficiary, Transfer on Death (TOD) Bene Primary",101
6155801,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Primary Beneficiary,Primary Beneficiary,102
1543473,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9721271,Very High,Trusted Contact,"Primary Beneficiary, Trusted Contact",103
