split,roc_auc,avg_precision
Train,0.9814296522693512,0.9638533838777344
CV_mean,0.9812597162380836,0.9634734405337351
CV_std,0.00023747732934442176,0.0007053492434286938
Validation,0.981379051201871,0.9634716055785536
Test,0.9828584362260374,0.9665135624152619
